gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Market,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source,has_duplicate_ranks,age_group,risk_score,risk_category,engagement_score,top_3_avenues,first_choice,second_choice,third_choice,expected_return_numeric,duration_category,risk_return_alignment
Female,34,Yes,1,2,5,3,7,6,4,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines,False,31-35,8,Aggressive,1,"['Mutual_Funds', 'Equity', 'Gov_Bonds']",Mutual_Funds,Equity,Gov_Bonds,25,Medium-term,Misaligned
Female,23,Yes,4,3,2,1,5,6,7,No,Locking Period,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,20%-30%,Mutual Fund,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants,False,18-25,5,Moderate,2,"['Gov_Bonds', 'Debentures', 'Equity']",Gov_Bonds,Debentures,Equity,25,Long-term,Aligned
Male,30,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Daily,20%-30%,Equity,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television,False,26-30,4,Moderate,3,"['PPF', 'Gov_Bonds', 'Mutual_Funds']",PPF,Gov_Bonds,Mutual_Funds,25,Medium-term,Aligned
Male,22,Yes,2,1,3,7,6,4,5,Yes,Returns,Income,Wealth Creation,Less than 1 year,Daily,10%-20%,Equity,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,False,18-25,9,Aggressive,3,"['Equity', 'Mutual_Funds', 'Debentures']",Equity,Mutual_Funds,Debentures,15,Short-term,Misaligned
Female,24,No,2,1,3,6,4,5,7,No,Returns,Income,Wealth Creation,Less than 1 year,Daily,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Internet,False,18-25,7,Aggressive,3,"['Equity', 'Mutual_Funds', 'Debentures']",Equity,Mutual_Funds,Debentures,25,Short-term,Misaligned
Female,24,No,7,5,4,6,3,1,2,No,Risk,Capital Appreciation,Wealth Creation,1-3 years,Daily,30%-40%,Mutual Fund,Retirement Plan,Liquidity,Fund Diversification,Safe Investment,Risk Free,Internet,False,18-25,3,Conservative,3,"['PPF', 'Gold', 'Fixed_Deposits']",PPF,Gold,Fixed_Deposits,35,Medium-term,Misaligned
Female,27,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,False,26-30,4,Moderate,1,"['PPF', 'Gov_Bonds', 'Mutual_Funds']",PPF,Gov_Bonds,Mutual_Funds,25,Medium-term,Aligned
Male,21,Yes,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False,18-25,7,Aggressive,1,"['PPF', 'Mutual_Funds', 'Equity']",PPF,Mutual_Funds,Equity,25,Medium-term,Misaligned
Male,35,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Savings for Future,1-3 years,Weekly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,False,31-35,6,Moderate,2,"['PPF', 'Mutual_Funds', 'Fixed_Deposits']",PPF,Mutual_Funds,Fixed_Deposits,25,Medium-term,Aligned
Male,31,Yes,1,3,7,4,5,2,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,False,31-35,7,Aggressive,1,"['Mutual_Funds', 'PPF', 'Equity']",Mutual_Funds,PPF,Equity,35,Medium-term,Aligned
Female,35,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Savings for Future,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,False,31-35,6,Moderate,1,"['PPF', 'Mutual_Funds', 'Fixed_Deposits']",PPF,Mutual_Funds,Fixed_Deposits,25,Medium-term,Aligned
Male,29,Yes,2,5,7,6,3,1,4,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,False,26-30,5,Moderate,1,"['PPF', 'Mutual_Funds', 'Fixed_Deposits']",PPF,Mutual_Funds,Fixed_Deposits,25,Medium-term,Aligned
Female,21,No,1,2,3,4,5,6,7,No,Returns,Capital Appreciation,Savings for Future,1-3 years,Weekly,20%-30%,Mutual Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Internet,False,18-25,6,Moderate,2,"['Mutual_Funds', 'Equity', 'Debentures']",Mutual_Funds,Equity,Debentures,25,Medium-term,Aligned
Female,28,Yes,2,3,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,False,26-30,7,Aggressive,1,"['PPF', 'Mutual_Funds', 'Equity']",PPF,Mutual_Funds,Equity,25,Medium-term,Misaligned
Female,25,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Fixed Deposits,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,False,18-25,7,Aggressive,1,"['PPF', 'Mutual_Funds', 'Equity']",PPF,Mutual_Funds,Equity,25,Medium-term,Misaligned
Male,27,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,False,26-30,7,Aggressive,1,"['PPF', 'Mutual_Funds', 'Equity']",PPF,Mutual_Funds,Equity,25,Medium-term,Misaligned
Female,28,Yes,3,2,7,5,4,1,6,Yes,Risk,Growth,Wealth Creation,1-3 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television,False,26-30,8,Aggressive,1,"['PPF', 'Equity', 'Mutual_Funds']",PPF,Equity,Mutual_Funds,25,Medium-term,Misaligned
Male,27,Yes,3,2,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,False,26-30,8,Aggressive,1,"['PPF', 'Equity', 'Mutual_Funds']",PPF,Equity,Mutual_Funds,25,Medium-term,Misaligned
Male,29,Yes,3,2,7,4,5,1,6,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False,26-30,8,Aggressive,1,"['PPF', 'Equity', 'Mutual_Funds']",PPF,Equity,Mutual_Funds,25,Medium-term,Misaligned
Male,26,Yes,3,4,6,5,1,2,7,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,False,26-30,6,Moderate,1,"['Fixed_Deposits', 'PPF', 'Mutual_Funds']",Fixed_Deposits,PPF,Mutual_Funds,25,Medium-term,Aligned
Male,29,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Wealth Creation,3-5 years,Weekly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,False,26-30,6,Moderate,2,"['PPF', 'Mutual_Funds', 'Fixed_Deposits']",PPF,Mutual_Funds,Fixed_Deposits,25,Medium-term,Aligned
Female,24,Yes,2,4,5,6,3,1,7,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Health Care,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False,18-25,6,Moderate,1,"['PPF', 'Mutual_Funds', 'Fixed_Deposits']",PPF,Mutual_Funds,Fixed_Deposits,25,Medium-term,Aligned
Male,27,Yes,3,4,6,5,2,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,False,26-30,6,Moderate,1,"['PPF', 'Fixed_Deposits', 'Mutual_Funds']",PPF,Fixed_Deposits,Mutual_Funds,25,Medium-term,Aligned
